,open,high,low,close,volume,datetime
0,54112.07,58430.77,50387.01,57605.13,11036.4366995,2021-03-29
1,57605.27,60100.0,56500.0,59118.85,6502.645823299999,2021-04-05
2,59118.86,61197.09,55450.0,59863.12,8369.3165468,2021-04-12
3,59863.13,64900.0,50900.0,55691.79,16378.9855888,2021-04-19
4,55691.79,57145.34,47000.0,54060.48,18062.588669999997,2021-04-26
5,54060.47,58988.52,52389.42,57211.36,9471.7528754,2021-05-03
6,57226.45,59584.99,52947.09,55882.44,14413.206160000002,2021-05-10
7,55882.54,57998.26,42080.0,43583.02,25153.186791999997,2021-05-17
8,43575.54,45860.17,28700.0,38861.83,47551.004580999994,2021-05-24
9,38867.92,40861.2,33410.29,37309.41,17235.784367,2021-05-31
10,37290.2,39487.91,33333.0,33591.69,13660.810560799999,2021-06-07
11,33566.2,34069.81,31000.01,33414.85,5682.062938,2021-06-14
