internal_name,open,high,low,close,volume,timestamp
ETH/USD,3378.9700000000,3445.7400000000,1960.0000000000,2444.6000000000,162990.4783901510,1621382400.0000000
ETH/USD,4080.6000000000,4139.5400000000,3623.9900000000,3645.1000000000,20260.9831753700,1621036800.0000000
ETH/USD,4181.7500000000,4384.1600000000,3700.0000000000,3827.6400000000,49887.1168554800,1620777600.0000000
ETH/USD,2774.7800000000,2950.0000000000,2100.0000000000,2434.3500000000,92119.7745434492,1621555200.0000000
ETH/USD,2737.4900000000,2763.9700000000,2327.8700000000,2413.5300000000,59893.3235837697,1622160000.0000000
ETH/USD,3585.0100000000,3588.6300000000,3114.5000000000,3282.7100000000,67372.7801756800,1621209600.0000000
ETH/USD,2299.5600000000,2383.5000000000,1728.6500000000,2099.6500000000,124655.8657628602,1621728000.0000000
ETH/USD,3432.6600000000,3531.8300000000,3161.5600000000,3242.8300000000,51785.2635092798,1620086400.0000000
ETH/USD,2859.3100000000,2859.3100000000,2553.5700000000,2692.2800000000,34082.3776471096,1622764800.0000000
ETH/USD,2370.7200000000,2371.8200000000,2159.0000000000,2219.8800000000,19334.5289948902,1619222400.0000000
ETH/USD,2114.2500000000,2129.0000000000,1930.0200000000,1964.3000000000,31477.0395019203,1617753600.0000000
ETH/USD,2890.2100000000,2893.1200000000,2640.0000000000,2740.5000000000,31812.8508151302,1622073600.0000000
ETH/USD,2435.9400000000,2488.5400000000,2155.6900000000,2297.4700000000,64104.5199788300,1621641600.0000000
ETH/USD,2413.3600000000,2575.6400000000,2208.0000000000,2279.8000000000,32071.9525073601,1622246400.0000000
ETH/USD,2133.1500000000,2138.3100000000,2002.0600000000,2009.2400000000,17463.5012866201,1617408000.0000000
ETH/USD,2711.3900000000,2849.9900000000,2573.3200000000,2593.8900000000,25332.0614852400,1623024000.0000000
ETH/USD,2426.7900000000,2498.2200000000,2315.3600000000,2318.3300000000,19662.5158688401,1618617600.0000000
ETH/USD,3827.6200000000,4071.6200000000,3500.0000000000,3721.4300000000,66631.8038886100,1620864000.0000000
ETH/USD,2517.7200000000,2549.0000000000,2302.0000000000,2425.0900000000,25451.0770249998,1618531200.0000000
ETH/USD,1668.7400000000,1741.0000000000,1543.8400000000,1581.3800000000,29278.5091279501,1616544000.0000000
ETH/USD,2594.0600000000,2622.1900000000,2305.0100000000,2508.7300000000,53777.7589189800,1623110400.0000000
ETH/USD,2318.8000000000,2341.6400000000,1954.4700000000,2239.4400000000,54164.3347471793,1618704000.0000000
ETH/USD,2241.4300000000,2283.5200000000,2080.2000000000,2162.6900000000,28314.2574428797,1618790400.0000000
ETH/USD,2708.7300000000,2742.1600000000,2527.0600000000,2634.1500000000,39936.7796199302,1622505600.0000000
ETH/USD,3646.0800000000,3878.0900000000,3340.4700000000,3582.2100000000,53890.8439043701,1621123200.0000000
ETH/USD,2692.2800000000,2817.5800000000,2552.8400000000,2630.4000000000,19426.3023319501,1622851200.0000000
ETH/USD,3529.0000000000,3610.0000000000,3382.0500000000,3493.5900000000,26701.8438661900,1620259200.0000000
ETH/USD,2403.6600000000,2442.7200000000,2108.0000000000,2370.1300000000,39196.2901968601,1619136000.0000000
ETH/USD,1716.4500000000,1725.7000000000,1662.3200000000,1687.1900000000,8012.5924848800,1616889600.0000000
ETH/USD,2081.2700000000,2100.0000000000,2041.2300000000,2067.5700000000,15268.2424519702,1617926400.0000000
ETH/USD,3498.8400000000,3595.0000000000,3355.0100000000,3485.7300000000,17641.1503240901,1620345600.0000000
ETH/USD,2150.6600000000,2198.8500000000,2101.7200000000,2137.7600000000,18410.1176487700,1618185600.0000000
ETH/USD,1681.5100000000,1722.0000000000,1650.0000000000,1669.2000000000,17401.7627318699,1616457600.0000000
ETH/USD,2952.4500000000,2986.3400000000,2857.0000000000,2952.7000000000,11363.2852252900,1619913600.0000000
ETH/USD,2109.0500000000,2150.3600000000,2045.7800000000,2113.8700000000,24390.5294451900,1617667200.0000000
ETH/USD,1581.4100000000,1623.3500000000,1549.0200000000,1586.9800000000,18484.8729557001,1616630400.0000000
ETH/USD,2753.0900000000,2800.0000000000,2673.0600000000,2759.3300000000,19952.6120975698,1619654400.0000000
ETH/USD,3918.6700000000,3984.8900000000,3672.7000000000,3929.1100000000,21055.0404789100,1620518400.0000000
ETH/USD,1700.5700000000,1733.6300000000,1666.0000000000,1713.6600000000,6718.3216143400,1616803200.0000000
ETH/USD,2133.7700000000,2163.9200000000,2113.2900000000,2150.8200000000,7232.8411018600,1618099200.0000000
